Serial Number,Assessed Value,Sale Amount,Sales Ratio,Residential Type
12194,206150.0,227500.0,0.906153846,Single Family
170820,185710.0,242200.0,0.7667,Single Family
20200691,111370.0,100000.0,1.1137,Single Family
200234,1248100.0,2175000.0,0.5738,Single Family
18016,133700.0,152000.0,0.8796,Single Family
130010,164300.0,248000.0,0.6625,Single Family
200549,101640.0,180000.0,0.5646,Three Family
14170,280420.0,286000.0,0.98048951,Single Family
14395,133410.0,189900.0,0.702527646,Condo
160253,221000.0,230000.0,0.960869565,Single Family
18084,277480.0,255000.0,1.0881,Single Family
1300104,122430.0,165000.0,0.742,Condo
10612,40306.0,145000.0,0.277972414,Single Family
200644,63380.0,127000.0,0.499,Condo
100371,110860.0,150000.0,0.739066667,Single Family
100412,139160.0,135000.0,1.030814815,Two Family
140508,112490.0,147000.0,0.765238095,Single Family
140730,2524760.0,3960000.0,0.637565657,Single Family
16550,102130.0,115000.0,0.888086957,Single Family
111063,87900.0,26000.0,3.380769231,Two Family
150263,138950.0,200000.0,0.69475,Single Family
180963,127470.0,210000.0,0.607,Single Family
160114,98000.0,150000.0,0.653333333,Single Family
130368,61900.0,75000.0,0.825333333,Condo
111373,393000.0,459000.0,0.85620915,Condo
800250,133740.0,172500.0,0.775304348,Single Family
180305,289660.0,400000.0,0.7241,Condo
160003,100100.0,133000.0,0.752631579,Condo
170079,372680.0,515000.0,0.723650485,Single Family
150252,101900.0,150000.0,0.679333333,Condo
70285,85800.0,165000.0,0.52,Single Family
172068,329840.0,674933.0,0.4887,Single Family
100157,232600.0,180000.0,1.292222222,Single Family
70241,367710.0,425000.0,0.8652,Condo
200530,284370.0,375000.0,0.7583,Single Family
150156,254730.0,374500.0,0.680186916,Single Family
151017,147980.0,145000.0,1.020551724,Single Family
80696,158550.0,275000.0,0.576545455,Single Family
2000645,131570.0,240000.0,0.5482,Single Family
130242,148700.0,238500.0,0.623480084,Single Family
70039,152250.0,259000.0,0.587837838,Condo
19424,143990.0,280000.0,0.5143,Single Family
90013,141400.0,2200.0,64.27272727,Condo
160064,70770.0,97000.0,0.729587629,Condo
150369,337320.0,255712.0,1.319140283,Single Family
100345,287910.0,380000.0,0.757657895,Condo
120026,231010.0,275000.0,0.840036364,Condo
130012,100600.0,120000.0,0.838333333,Single Family
100104,632580.0,685000.0,0.923474453,Single Family
150615,129800.0,212000.0,0.612264151,Single Family
200128,185500.0,450000.0,0.412222222,Single Family
170586,105560.0,148000.0,0.7132,Single Family
190254,89670.0,140000.0,0.6405,Condo
170027,247800.0,410000.0,0.604390244,Single Family
20611,79030.0,180000.0,0.439,Single Family
160659,85890.0,65825.0,1.304823395,Single Family
180392,197400.0,318500.0,0.6197,Condo
170061,118100.0,175000.0,0.674857143,Single Family
1900372,214480.0,380000.0,0.5644,Single Family
20191,224700.0,490000.0,0.4585,Condo
100031,223290.0,245000.0,0.911387755,Single Family
900066,302700.0,458000.0,0.660917031,Single Family
15367,208320.0,332000.0,0.62746988,Single Family
160219,124400.0,239900.0,0.518549396,Single Family
2001260,179310.0,196875.0,0.910780952,Condo
190367,461000.0,844000.0,0.5462,Single Family
90017,103700.0,135000.0,0.768148148,Single Family
1400125,487530.0,587500.0,0.829838298,Single Family
110050,138100.0,184900.0,0.746890211,Single Family
90148,201940.0,244000.0,0.827622951,Single Family
15000110,96300.0,88100.0,1.09307605,Single Family
14671,194690.0,275000.0,0.707963636,Single Family
13306,55251.0,174000.0,0.317534483,Two Family
190501,211820.0,319900.0,0.6621,Single Family
202112,98370.0,281000.0,0.35,Single Family
60207,339680.0,380000.0,0.893894737,Two Family
150222,182500.0,219400.0,0.831814038,Single Family
200315,76440.0,158000.0,0.4837,Single Family
